Mathematics,Kiswahili,English,Arabic,German,French,Chemistry,Physics,Biology,Home Science,Agriculture,Computer Studies,History,Geography,Religious Education,Life Skills,Business Studies,Music,Art and Design,Drawing and Design,Building Construction,Power and Mechanics,Metalwork,Aviation,Woodwork,Electronics,interests,skills,target_course_id
B+,B,B,D,C+,C,B,C,A,C-,C+,D,C,C,C,A,D+,D-,C,D,D-,D,A,C,E,B,"Art, Communication, Music","Communication, Manual Dexterity, Research, Problem Solving",3
B,D+,B,B-,B,A-,C-,B+,D,B-,C+,A-,B+,B-,D-,C+,D+,C+,B-,C-,D-,D,D+,A,C+,A-,"Debating, Critical Thinking","Teamwork, Research, Problem Solving, Critical Thinking, Communication",3
E,E,C-,D-,A-,B-,C,E,D+,D-,D-,D+,D+,C+,C-,B-,C,B-,C+,B+,D+,C+,B+,A,A-,C-,"Art, Communication, Healthcare, Technology","Teamwork, Research, Problem Solving, Critical Thinking, Empathy",3
C-,D+,A-,C+,A-,B-,C,D,B-,D-,A-,B,A-,C,C+,C,A-,B+,C+,C+,D,A,D-,C-,C-,C,"Healthcare, Communication, Science, Music","Communication, Research, Problem Solving, Leadership",3
B+,B-,B+,C-,B+,D+,E,D+,B-,B-,B+,A,B-,B+,D+,A,B+,C-,A-,E,B,C-,B-,C+,B-,A,"Art, Debating, Critical Thinking, Management","Teamwork, Problem Solving, Critical Thinking, Leadership, Communication",3
C+,C-,C+,C,B,C,B+,D,B+,A-,D+,A,A,D-,B,B+,D-,D-,A,C,C,D+,A-,D+,D,B-,"Sports, Critical Thinking","Research, Communication, Problem Solving, Analytical Skills",3
D-,D,B-,B+,C,A,E,D,B,C,D-,E,A,C-,C+,D+,C-,C,D-,B+,E,A,D,C+,D-,D+,"Communication, Sports, Building things","Communication, Teamwork, Critical Thinking",3
C,C,B-,A,C+,B+,C-,B,B,A,D+,C+,C-,B+,A-,C,B,B+,E,B-,A,A,A,D-,B-,C-,"Art, Research, Management","Communication, Manual Dexterity, Creativity, Research",3
C,D+,A-,E,B,A,A,B+,C,C,D,C-,A-,D+,D,B,E,C-,A-,C,C-,C+,C-,B-,D+,B,"Research, Programming, Building things","Communication, Creativity, Critical Thinking",3
B+,A-,A-,D+,D,A-,D,D-,C-,A,D,D+,B+,E,B,D+,C-,B-,E,E,C-,A,C-,C,D-,C-,"Communication, Programming, Debating, Sports","Communication, Manual Dexterity, Logical Thinking, Research",3
C-,B,A-,D+,D,D+,B,D-,A,A-,C-,A-,B-,B+,D-,C,D+,B,D-,E,B,A-,D+,C+,B,D+,"Research, Programming, Healthcare","Communication, Research, Teamwork",3
D-,D+,A-,D,B-,C-,D,D,B-,A-,D,C+,A-,D,B,C,D-,C-,C+,C+,C,D-,D,E,B-,B+,"Communication, Programming, Science, Building things","Communication, Manual Dexterity, Logical Thinking, Research",3
C-,C+,B,D,C+,E,D+,D,A-,D,E,D,C-,C-,A,A,A,C,A,C-,B-,C+,B,E,D-,C+,"Research, Healthcare, Management","Logical Thinking, Research, Problem Solving, Leadership, Communication",3
B+,D,C+,C+,C+,D,B+,D+,B,C,D-,E,A,A-,D+,B-,E,B+,A-,C,B+,C,B-,D-,C,A-,"Communication, Healthcare","Creativity, Problem Solving, Critical Thinking, Communication, Empathy",3
A-,B-,B,B+,D-,B+,D,B,B,D,D,C,A,B+,B-,D+,B+,A,C+,A-,E,B-,B-,D,D,C,"Research, Science, Debating, Sports","Communication, Research, Problem Solving, Teamwork",3
B,C-,B-,D+,D,D-,B-,D,C-,B-,C+,B,A,B+,D,E,C,B-,A-,B-,D-,B+,D-,C,D-,B,"Research, Building things","Research, Communication, Creativity, Leadership",3
C,B+,B,B+,D+,A,E,A,A-,B-,B+,D,C-,C,B,B-,E,A,D+,E,B,B+,B-,C,A-,D,"Healthcare, Critical Thinking","Research, Communication, Teamwork",3
D-,C-,A,B+,B-,B+,D,E,B-,A-,A-,B,C+,B+,C-,D+,E,D,B,D,B+,A,B,D,B-,A-,"Art, Healthcare, Critical Thinking","Research, Communication, Analytical Skills",3
A,D,C-,C+,C-,C+,D,C+,A-,C,D+,B-,A-,D,B-,D+,B-,B-,C+,D,D+,D-,D,C,D+,A,"Music, Sports, Critical Thinking","Logical Thinking, Research, Creativity, Analytical Skills, Communication",3
D+,B-,B-,C-,A,C-,A-,B,C-,A-,C,A,A,B,C+,C-,D-,C+,D+,C,C,B-,B,C+,B+,A-,"Research, Science, Sports, Building things","Research, Manual Dexterity, Analytical Skills, Critical Thinking",3
B-,A,B+,B-,E,B+,D,D+,C+,D-,E,C+,B+,A-,D,D+,C,E,C-,D+,E,B,E,C,D+,A-,"Communication, Programming","Research, Communication, Logical Thinking, Teamwork",3
D,C+,C,D-,A,B+,A,A,C,C,C,B-,C,B-,D,D+,E,A,D-,B-,D,A-,B,D-,D,C+,"Research, Programming, Debating, Building things","Research, Logical Thinking, Leadership, Critical Thinking",3
A-,C-,D,C,C+,C,A,A-,B,D-,D,D,B,A,D,E,C+,D-,B-,E,C+,B,A-,A-,A-,B,"Communication, Music, Science, Building things","Research, Creativity, Critical Thinking",3
B,A,B+,B+,C-,D+,D,A,B,A,C-,C+,B,C-,A,C-,C,D-,D,B+,D,B+,C+,E,A-,D+,"Communication, Management","Research, Problem Solving, Critical Thinking, Analytical Skills, Empathy",3
C,B+,B+,A-,B,C-,D+,C+,A-,C+,D-,D-,A-,B,B-,D-,B-,C-,E,D-,A,B,D-,D+,B,E,"Research, Sports","Research, Creativity, Teamwork, Critical Thinking",3
E,A-,B,C,B+,C-,B-,B,C+,C-,C,B,B-,A-,E,D+,B+,E,C,D-,A-,C+,A,A-,E,B+,"Healthcare, Research, Technology, Debating","Research, Manual Dexterity, Leadership, Communication, Empathy",3
E,D+,B+,A,B-,A-,C-,C,A,A-,D,E,C,C+,B-,D-,D-,D,C+,A-,D,D+,B-,C,C,B,"Communication, Healthcare","Research, Logical Thinking, Creativity, Critical Thinking",3
D,C+,A-,A,D-,B,C-,C+,D+,C+,C,A-,B,A,A,D+,C-,C+,B-,A-,B-,C,A,B-,A,B+,"Research, Debating, Management","Research, Critical Thinking, Manual Dexterity, Leadership, Analytical Skills",3
E,D-,B-,B+,A-,C+,C+,A,B-,A-,A,A,A-,C+,D-,B,C-,B+,D,C,B,D,D+,D,B-,A,"Art, Sports, Critical Thinking","Research, Empathy, Critical Thinking",3
C+,C-,A-,E,B,B,A-,D,B,E,D,D-,A,C-,B+,B,C-,D,C-,C,D+,E,C,C+,C+,D,"Art, Research, Programming","Communication, Problem Solving, Critical Thinking",3
D-,D+,A,B-,C+,D-,D+,B+,C+,D-,C-,D,A-,B,D+,A-,C-,A-,C,B,B+,C+,C+,D-,D+,A-,"Communication, Debating, Sports","Research, Teamwork, Critical Thinking",3
A-,B,B+,A-,B+,D-,A,B+,D-,C+,C+,E,A,A,D-,B-,E,A,B,D+,E,B+,C,D,D+,D,"Communication, Debating","Research, Empathy, Critical Thinking",3
C+,E,D+,A,D,C,A-,A-,B,E,E,C,A,B-,C-,A-,C,A,A-,C-,B,E,A-,A-,D+,D+,"Research, Healthcare","Teamwork, Research, Creativity, Critical Thinking, Communication",3
C,E,B,E,D-,B+,D-,A-,B-,A,B+,C+,A,B,C-,B,E,D-,C,C,B,B,D,E,D,C-,"Research, Debating","Communication, Research, Empathy, Teamwork",3
C,B-,B+,D-,C-,A,C-,B,D,C,D,B+,C+,C,B,B-,D,B,D+,B,A,C,A,D,C,D-,"Communication, Programming, Healthcare, Building things","Communication, Creativity, Critical Thinking",3
D-,C,C-,C+,A,E,C+,D-,D+,D+,B+,C+,A-,D+,C,A,D,B+,B,C+,B,A-,D,B-,B-,C,"Management, Critical Thinking, Building things","Communication, Problem Solving, Critical Thinking",3
D-,B-,A-,B-,B+,A,A,B,D-,B-,B,D,C+,C+,D,A-,C-,C,C+,D,E,D-,B+,B+,A,C,"Technology, Critical Thinking","Creativity, Critical Thinking, Manual Dexterity, Communication, Empathy",3
D+,D-,B+,D-,D,A,C,E,C-,D,C-,A,C+,A-,C-,D+,C-,D,D-,D-,A-,D+,B+,B+,A-,C,"Research, Debating","Research, Communication, Empathy",3
D,D+,B+,D,D,C,A,D+,C+,D-,A,D,A-,A,D+,B,A-,E,C-,D-,B,E,C+,E,B+,E,"Art, Research, Programming","Research, Communication, Manual Dexterity, Critical Thinking",3
B+,D+,D,D,B,E,C+,A,D-,D,E,C,A-,A,C+,C-,E,B+,A-,D-,D-,D,B,D,B-,D+,"Research, Debating","Communication, Research, Analytical Skills",3
B+,D-,A,E,D-,B-,A,B+,E,D,D+,D-,C,D+,C-,D-,A-,C+,D-,C-,A,B,E,D-,B+,C,"Research, Debating","Research, Creativity, Critical Thinking, Communication, Empathy",3
A,B,A,C,B+,B,C+,A,C,B+,A,C-,C+,C-,E,C,A,A-,D-,B,D,A-,E,B-,B+,B-,"Communication, Programming","Research, Analytical Skills, Critical Thinking",3
D,A-,B-,D,C+,C+,B+,D+,A,B+,D+,D-,A,C+,C+,A,D-,D+,D-,D+,B,B+,B+,B+,D-,E,"Science, Critical Thinking, Building things","Research, Creativity, Teamwork, Critical Thinking",3
D+,B-,D+,A,B-,C-,C,D,B,A-,D,B-,C+,B-,D-,E,E,A,D-,C,B+,B,C-,C-,A,B+,"Healthcare, Debating, Critical Thinking, Building things","Research, Communication, Teamwork, Critical Thinking",3
B+,E,A-,C+,D,D+,D,E,A,E,B-,A-,B,D-,A,C,C+,B+,D-,C,B,B-,D+,E,C,C+,"Art, Research, Debating, Technology","Research, Manual Dexterity, Leadership, Analytical Skills, Communication",3
C,A,B-,B,B+,B,C-,D-,E,C+,D,A-,C+,B+,C-,B,B,A-,D,D+,B-,C,C-,B,A-,B,"Communication, Music","Teamwork, Research, Creativity, Manual Dexterity, Analytical Skills, Communication",3
B+,E,D+,C,C-,A,A-,C+,B,B+,C-,B,A-,D,D-,C,D-,D,D+,C,E,B+,B,B+,B+,C,"Healthcare, Technology, Sports, Critical Thinking","Research, Problem Solving, Analytical Skills, Communication, Empathy",3
E,E,B-,A,C,C+,D,A,B,B,A,B,B+,A-,E,C,C,B+,D,D-,D-,C,D,D-,D,D,"Research, Music, Programming","Communication, Problem Solving, Critical Thinking",3
B,A,A-,C,B,B,A-,A-,A,B+,B+,B+,A-,C+,E,C-,A,D+,D,B,A-,B+,A-,B,A-,E,"Programming, Music, Technology, Critical Thinking","Research, Communication, Manual Dexterity, Problem Solving",3
B-,C-,B-,C-,B+,E,B,C+,E,E,B,B-,B+,D,B-,D-,D+,A,B,B+,C-,C-,C+,C,D+,B-,"Programming, Technology, Critical Thinking","Teamwork, Creativity, Critical Thinking, Manual Dexterity, Communication",3
C+,A,B+,D-,C-,A-,C,A,B+,D,B-,C-,A-,D,C+,C,D+,B-,C+,D-,B,A-,E,D+,D-,A-,"Building things, Critical Thinking, Management","Teamwork, Research, Manual Dexterity, Communication, Empathy",3
C,D,A-,C+,D-,E,E,C+,A-,B+,B,B-,B-,E,C,D+,C+,B-,C,C-,B-,B+,B,D+,C,D,"Sports, Critical Thinking","Communication, Creativity, Critical Thinking",3
D-,D,A-,C,D,C,C-,C-,E,B,C,A,B+,A,A,D-,D,D+,B+,B+,C,B+,D+,A-,B,C,"Art, Research, Technology, Debating","Research, Problem Solving, Critical Thinking, Manual Dexterity, Leadership, Empathy",3
E,C-,D,E,B-,E,B,C+,A-,D-,A,C+,B,A-,C+,B+,B-,A,C-,C+,E,B-,B,C,B-,C-,"Art, Communication, Technology","Logical Thinking, Teamwork, Research, Critical Thinking, Communication",3
E,A,A,D-,D-,D,B-,B-,E,A-,C,B-,C+,A,B,C+,B-,A,A,D,B-,A,A-,B,D+,D+,"Research, Science","Communication, Manual Dexterity, Logical Thinking, Critical Thinking",3
C-,C-,C+,C-,A,A-,B-,D,C-,E,C-,A,A-,D-,B+,E,A,C+,B+,A-,E,C+,B-,D,A-,C-,"Art, Science, Music, Critical Thinking","Logical Thinking, Research, Problem Solving, Critical Thinking, Manual Dexterity",3
C+,D-,A,D+,D,B,D-,B-,D+,D,D-,D+,A,D+,C,C-,C-,C+,C-,D+,B-,C+,C-,A-,C+,A,"Communication, Music","Communication, Creativity, Critical Thinking",3
D+,D+,B+,B,A,D,B,B,D,E,C,C-,D,B,D-,C+,B,C-,A,B-,B,B-,C+,B,B+,A,"Research, Sports, Management","Research, Manual Dexterity, Analytical Skills, Critical Thinking",3
C+,D+,C-,E,E,B,D+,A-,B-,B+,A-,C-,B+,D+,D+,E,D-,D,D,B+,E,A-,D-,A-,B,C-,"Research, Building things","Research, Creativity, Critical Thinking",3
E,C,B+,C+,B,B+,C-,C-,D,C+,D-,A-,B,C,C+,D-,C-,A-,D+,B+,D+,A,E,C,C-,B+,"Research, Debating, Management","Research, Creativity, Critical Thinking",3
A-,C-,B,D,B+,D-,C-,B,A-,A,D+,A-,B+,D,C-,A,A-,C-,D+,C+,E,C,A-,B-,A,D,"Communication, Healthcare, Building things","Research, Logical Thinking, Empathy, Critical Thinking",3
C,A,A,D+,C,D+,B,A,B,C-,D-,C-,A,A,C-,D,D-,D-,A-,B+,D,A,B-,C-,D,A,"Communication, Science, Healthcare","Communication, Research, Creativity, Critical Thinking",3
B,B-,B+,D-,A-,C+,B,D+,A-,B+,C-,D+,D,B+,B-,B,C+,E,D-,D+,B,A,D+,B,D+,A-,"Debating, Critical Thinking, Building things","Research, Analytical Skills, Critical Thinking",3
C,B,A-,B+,D+,A-,D+,C-,A,C+,C,B+,C+,B,A-,C-,C,C+,B,B,A-,B+,D+,C+,A-,C,"Art, Critical Thinking","Creativity, Critical Thinking, Analytical Skills, Communication, Empathy",3
D-,C-,B-,A-,D-,B-,A,B+,D+,D-,B-,C,B,D,A,D+,B-,C-,D-,D+,C,A,B-,D-,B,B+,"Sports, Critical Thinking","Creativity, Critical Thinking, Manual Dexterity, Leadership, Communication",3
A-,B-,A,A,D+,B+,B+,D,C,B+,B,A,B-,D-,D-,D,D+,C+,A,B,E,B+,B-,D+,A-,B,"Communication, Music","Communication, Manual Dexterity, Research",3
E,D,A,C+,D-,B,C+,A,D,B+,C+,B+,B-,A-,D+,D,B-,B-,E,A,D-,C-,A-,A,C,B,"Science, Debating, Technology, Critical Thinking","Logical Thinking, Research, Creativity, Communication, Empathy",3
E,A-,A,C-,D+,B+,D,D+,B+,B,D+,B+,A,A,B,A-,C+,E,B,D+,C,D-,C,D+,D+,D-,"Communication, Music","Teamwork, Research, Creativity, Analytical Skills, Communication",3
D+,B,D+,C,A,C+,D+,A,E,D+,C,C-,B+,A-,C,B+,D+,C+,B+,C-,E,A-,C+,C-,E,B,"Research, Programming, Management","Communication, Research, Logical Thinking",3
A,D+,D+,D,D+,C,D-,B+,B+,A,D-,C+,B+,C,A-,D-,B,B+,D-,B-,C,B-,D-,B+,A-,A-,"Research, Building things","Communication, Problem Solving, Critical Thinking",3
D-,C+,B+,B,D,B+,B+,D+,C,D-,D+,E,A,A,B,D-,B,A-,D,B-,A-,A-,C+,D,E,C-,"Communication, Science, Healthcare, Management","Research, Manual Dexterity, Teamwork, Critical Thinking",3
D,C+,B-,D+,B+,C,B,B+,B,B,C-,D-,B,C,C-,E,B,C+,D-,C+,C,D-,B-,B+,D,D,"Research, Healthcare, Sports, Management","Research, Creativity, Problem Solving, Leadership, Communication",3
B-,C-,B-,D,E,E,B-,D+,B,A,E,D+,A-,E,B,C-,E,A-,D,E,D,D-,D-,C+,B-,B-,"Research, Programming, Music, Debating","Communication, Research, Teamwork, Critical Thinking",3
D,D+,C-,D-,A,E,B,E,D-,B,C,A,A,E,C-,D+,E,C-,C,D-,D-,C+,A-,D+,B+,D,"Research, Management, Debating, Building things","Logical Thinking, Research, Critical Thinking, Leadership, Analytical Skills",3
B-,A-,A-,A,B-,D,B+,D-,A-,A,A,E,B,B-,D-,B+,C+,D,B,C+,C,C,B,A,D-,D,"Research, Healthcare, Management","Communication, Research, Leadership, Critical Thinking",3
E,B+,B+,D,B-,A,B-,D-,D+,B+,C+,B,B,C-,A-,B,D+,A-,C-,D-,B,E,E,B,B-,B,"Research, Programming, Sports","Teamwork, Research, Problem Solving, Communication, Empathy",3
D,C+,B+,B+,D-,D+,B+,A,B-,D,C,B,D,E,C-,D,A-,D+,E,A-,B,A,B-,A,D-,A,"Music, Critical Thinking, Building things","Research, Communication, Empathy, Problem Solving",3
B,A,A-,B-,E,C-,B+,C,C,A,E,B-,C-,D+,A-,B+,B,A,C,D+,D,C+,C-,A,B,B+,"Communication, Management","Communication, Research, Teamwork",3
C,D+,A,E,E,A-,D-,D+,D-,D+,E,B+,B+,C+,B,D+,B,A-,D-,C+,A-,C-,A-,C-,B,B,"Research, Management, Sports, Building things","Research, Manual Dexterity, Teamwork, Critical Thinking",3
D+,C-,C,D+,A-,B,B-,D,C,C+,A,B-,C-,C-,C+,C+,A-,A,B-,C-,D+,D,A-,B-,A-,A,"Research, Science, Management","Communication, Research, Logical Thinking, Leadership",3
D+,A-,D+,C+,D,A,A,A-,C-,C,C-,D,C+,B,D+,C+,A-,B+,D-,C-,C+,D-,D+,D-,C+,A,"Communication, Debating, Building things","Communication, Research, Leadership, Teamwork",3
B+,B-,A-,B+,B,A-,A,A-,C+,C,B+,D-,A,C-,B-,C,E,D-,D-,C+,A,E,C,D-,A,A,"Communication, Music, Science, Building things","Communication, Analytical Skills, Critical Thinking",3
C-,B-,A,B-,D-,D,B,B,B,C+,B-,C-,B+,B-,C-,B,D+,B+,E,B+,B-,A,B+,B,B,E,"Communication, Healthcare, Sports, Management","Communication, Analytical Skills, Critical Thinking",3
D-,B-,D,C-,E,A-,C+,E,C-,C,A,B+,C-,B-,D,D+,E,D+,C+,B-,C,C,D-,A-,B,C,"Research, Healthcare","Research, Communication, Manual Dexterity",3
A-,E,A-,B+,D+,B+,C+,C+,A-,A-,C+,E,D+,A,B,D-,B+,C+,B,B-,C,C-,C+,B-,B,D-,"Research, Programming, Healthcare, Debating","Communication, Research, Analytical Skills",3
D,B+,B+,D,C-,C-,C+,C,B,B,D,D+,A,E,D-,D,C,C-,D+,D,D+,C,C+,A-,C,A,"Art, Research, Debating","Communication, Manual Dexterity, Leadership, Critical Thinking",3
D+,B,A-,E,C-,B-,C+,D,D+,C+,A-,A-,B-,C,D,C+,B,C+,C-,C,D-,C-,D,E,C,C,"Communication, Debating, Sports, Management","Research, Creativity, Leadership, Critical Thinking",3
D+,B-,A,B-,D,E,C-,E,D,C-,E,B,B+,D,B,C,A-,B-,B,B,B+,D,C-,C+,B-,B,"Debating, Sports, Critical Thinking","Research, Communication, Manual Dexterity",3
E,B,A-,E,C-,B-,B-,C-,C+,B,C+,E,B+,A-,B+,B-,A,B+,B-,B+,B-,C-,B+,C-,C,D-,"Communication, Music, Technology, Building things","Teamwork, Research, Creativity, Problem Solving, Leadership, Communication",3
C-,A-,A-,C+,D,E,D+,E,E,D+,D-,E,D,A,A,D,C+,D-,C,D+,C,A-,E,D-,B,C,"Communication, Music","Communication, Leadership, Critical Thinking",3
B+,C,A-,D-,A,B,D-,E,D,D,A,D+,B+,D-,D-,B,C-,A,E,B-,D,C-,C+,A,A,D,"Art, Communication","Communication, Teamwork, Critical Thinking",3
D,C-,B-,D-,E,B+,C,B+,A-,B,D+,C,A-,C,D,D,B+,C-,D+,E,B-,A-,C,C+,D+,B-,"Communication, Programming","Research, Communication, Creativity, Critical Thinking",3
A-,A-,B,B+,C-,C-,B,C+,D-,B,C-,C-,D,A,D-,B+,E,A-,B+,D,E,B+,C-,B,A-,A,"Art, Research, Programming","Communication, Critical Thinking",3
D,A,D+,C+,D+,D-,D,B-,A,A-,A,A-,A,D+,D+,D,B-,D-,B+,B+,A-,B+,B,A-,B+,D+,"Art, Technology, Healthcare, Critical Thinking","Communication, Research, Teamwork",3
D,B,B-,E,D,A-,C-,A-,C,B+,D,C-,B-,B,C+,A,A,B-,B,A-,C,B,A,B+,D-,E,"Art, Communication, Technology","Research, Communication, Empathy",3
E,C,B,E,D+,D-,A,E,C-,C+,C+,B-,A-,B+,B,C+,D+,B,D-,B,A,C-,C,A,E,A,"Research, Science, Technology, Building things","Communication, Research, Creativity, Leadership",3
A-,D+,A-,C-,C+,D,B,D+,B,D-,B-,D-,A,E,D-,D,A-,E,D,C,B,C+,D+,C-,A-,A-,"Research, Science","Communication, Leadership, Teamwork, Critical Thinking",3
D+,C+,B-,C-,D-,B+,C-,A,B-,D,C,C-,A-,D+,D+,D+,A,E,B+,B,D-,D-,C,D+,B-,A,"Art, Communication, Sports, Building things","Communication, Research, Critical Thinking",3
A-,D,B,C-,D,B-,C,D-,A,C-,D,C,C+,A,B-,B+,E,A-,C,A,E,B,E,D+,C-,D+,"Communication, Management","Communication, Analytical Skills, Critical Thinking",3
A,C-,D+,A,C-,B-,E,D+,B,D-,D+,B-,B+,D+,D+,C,A-,D,C+,D-,D,D,D,D-,A,B-,"Music, Critical Thinking","Research, Leadership, Analytical Skills, Communication, Empathy",3
A-,C+,B-,C,D+,E,C-,C+,A-,B-,A,C+,B,E,C+,D-,B,B+,E,D-,E,D-,B,A,C-,B-,"Research, Music, Science, Technology","Logical Thinking, Research, Problem Solving, Critical Thinking, Leadership",3
D-,D+,A-,A-,B+,D+,A-,C+,C+,C,A-,C,B+,A-,A,D-,B-,A-,B,D,A-,A,C+,D-,B-,B+,"Communication, Music, Programming, Sports","Research, Empathy, Problem Solving, Critical Thinking",3
C-,D-,C,E,A-,D+,A,C-,B+,A,B+,D+,C+,B+,D-,C-,D+,C+,C,B+,C,D+,B-,A-,A-,B,"Research, Music, Technology","Research, Logical Thinking, Teamwork, Critical Thinking",3
A-,C,C,A,D-,C+,E,C,C,C-,B+,D,D+,C,C-,D-,C,A-,B-,A,A,A-,B,B+,D+,C,"Programming, Healthcare, Technology, Critical Thinking","Communication, Research, Problem Solving",3
C+,A,B-,B,D-,D-,D-,B+,B+,D-,D,C+,C,E,D,A-,B+,A-,C,D-,D+,B+,A-,B-,B+,B-,"Communication, Science, Sports","Research, Problem Solving, Manual Dexterity, Analytical Skills, Communication",3
B-,D-,B-,C-,B+,C+,D,C-,E,C-,D+,D+,B,C+,C-,D,D,D+,E,B,C-,D+,D-,C+,C,A-,"Music, Debating, Sports, Critical Thinking","Communication, Research, Analytical Skills",3
D+,C+,B+,B+,D,A-,C,C+,A,C+,C-,C-,B+,B-,C-,A-,D,E,C+,D-,A-,C,B+,E,A-,E,"Research, Programming","Research, Manual Dexterity, Leadership, Critical Thinking",3
B-,C+,A-,C+,B+,A,B+,D,B+,C+,A,D+,C+,B+,D,A,C+,A-,D-,D+,E,D-,A,D-,E,D-,"Communication, Debating","Research, Creativity, Critical Thinking",3
A-,A-,A-,C,E,E,D,E,B,E,B-,C+,B,A,C-,D-,C,B+,E,C-,D-,C-,E,E,E,B+,"Communication, Technology","Research, Problem Solving, Leadership, Communication, Empathy",3
B+,B-,B-,A,B-,E,D,B,C,C+,A,C,C-,B,A,C-,B-,B,A-,A,B,A,B-,C+,E,B+,"Healthcare, Critical Thinking","Research, Leadership, Critical Thinking",3
A-,A-,A-,B-,A-,D-,B-,C,D+,D+,D+,D-,A,A-,D+,D+,B,B-,E,D+,D,C-,C-,A-,D,E,"Art, Communication","Logical Thinking, Creativity, Critical Thinking, Leadership, Analytical Skills, Communication",3
D,D-,A-,C,D-,D-,D+,C-,D+,D-,C+,B,B-,B+,B+,C,D+,A-,B-,D,E,E,D+,D+,E,B,"Programming, Critical Thinking, Management","Research, Creativity, Analytical Skills, Critical Thinking",3
D,C-,A-,E,B+,A-,B-,B-,B-,C,C,B,A,C+,B-,B,D-,A,C-,D,C+,D,C-,C+,C+,E,"Healthcare, Research, Technology","Communication, Leadership, Research, Problem Solving",3
B+,C,A,B+,A-,B-,A-,C-,D+,C+,A-,C-,A-,D-,D+,A-,A,A,D-,A,D,C+,D-,C-,A-,E,"Communication, Music, Debating, Technology","Communication, Empathy, Leadership, Critical Thinking",3
D,B-,A-,C-,E,C,A,B,D-,C+,A-,A-,B+,B-,A,A,C-,E,B+,B-,A-,D+,B-,D,D,D,"Communication, Technology, Management","Logical Thinking, Critical Thinking, Leadership, Analytical Skills, Communication, Empathy",3
D-,E,A,C+,C+,B-,D+,D-,D,E,B+,B,B,C-,C-,A-,D,E,D,E,E,D-,C,B+,C-,A,"Communication, Music, Technology, Building things","Research, Manual Dexterity, Critical Thinking",3
B,D+,B-,D-,D+,C-,C-,D,D,B+,D+,A,A-,C,D+,D+,D-,D-,B-,C+,C,A-,B,C+,A-,A-,"Art, Communication, Programming, Sports","Teamwork, Research, Critical Thinking, Leadership, Communication",3
C-,D-,B+,B+,A,E,B+,C,C+,B-,B-,C+,C-,D-,A-,D,C,A,D-,B,D,E,C-,B,C,B-,"Art, Research, Technology, Debating","Communication, Research, Logical Thinking",3
D,C+,B-,B,B,A-,D-,C,B+,D,C-,A,B+,A,C,C+,A,E,D,B-,B-,B-,B,D-,D-,A-,"Music, Debating, Technology, Critical Thinking","Communication, Research, Creativity, Teamwork",3
A,D+,C-,D+,A,C-,B+,D-,C,E,D+,E,A,C+,B-,C+,B+,B,C,B,D-,D-,C-,C+,A,D,"Art, Research, Sports","Research, Communication, Analytical Skills, Critical Thinking",3
D,E,A,C+,D+,A,C+,D,A-,C-,B,C+,C+,B,B,B-,B,C+,E,C-,B-,B+,A,D-,C-,A-,"Communication, Programming, Technology, Management","Research, Manual Dexterity, Analytical Skills, Communication, Empathy",3
E,A,C+,C-,E,C,D-,C-,D+,A-,C-,B-,A-,D+,C,C,A,B+,D+,D-,D+,C+,A,C+,C+,C+,"Debating, Critical Thinking","Communication, Research, Critical Thinking",3
D-,B+,B+,C,C+,B-,B,D-,A,A-,C,B-,A,D+,C+,D+,B,B-,E,C-,C,C,A,D-,D+,D,"Communication, Science, Technology","Logical Thinking, Research, Problem Solving, Critical Thinking, Analytical Skills",3
B,B,B,A,B-,B+,B-,D,D-,B+,A-,D+,A,A,C-,B,B-,C,A-,C-,E,B-,B+,C-,C,C,"Science, Critical Thinking, Management","Teamwork, Research, Critical Thinking, Leadership, Analytical Skills",3
B,D,B+,B-,E,E,D+,B+,B+,C-,E,A,C,D+,E,C,A-,D,A,A-,C-,D-,C-,D-,D-,D+,"Research, Science, Sports","Logical Thinking, Research, Manual Dexterity, Analytical Skills, Communication, Empathy",3
B-,A-,C-,B+,B-,C,C,A-,A,C-,C-,E,C,C-,D,C+,D-,D,B-,A,C,C-,D-,D,C+,A-,"Research, Technology, Sports, Management","Research, Manual Dexterity, Empathy, Critical Thinking",3
B,D,A-,B+,E,D,C,C+,D+,C+,E,A-,C-,E,E,E,C+,C,D-,A,B+,B-,E,D,A,A,"Science, Debating, Critical Thinking","Research, Communication, Manual Dexterity, Empathy",3
D+,C,A-,B+,A,D+,D+,C+,B+,C-,D,B-,C,D-,A,B+,A,C,D+,C-,B,B-,C-,E,D,C+,"Communication, Programming, Music, Building things","Teamwork, Research, Problem Solving, Critical Thinking, Leadership",3
D-,D+,D+,A-,A-,B+,D,A-,D-,A,B,D,D,C,C-,B-,B,A,D+,B-,E,D-,D+,A,B,B,"Healthcare, Research, Programming","Communication, Manual Dexterity, Research, Critical Thinking",3
C+,B,A-,C+,B+,C,E,D,C-,A,D,C-,A,D+,C+,D,D+,C-,D+,A-,A,D,E,A-,C-,D+,"Debating, Critical Thinking","Logical Thinking, Teamwork, Research, Problem Solving, Communication, Empathy",3
D+,B-,A,A-,D+,D,D+,A,A-,D+,B,D+,B,B-,A,C+,B+,D,B+,D,C+,D,C+,C+,A-,C-,"Communication, Technology","Research, Logical Thinking, Critical Thinking",3
